## Northumbria University, Release r32 (SWID 119)
## 01-01-2024 10:00:00
## -1071 377 -592 257 1618 -697 605 -251 0
## Dockable table = FALSE
# v1raw v2raw  v1 v2  ppu resp  gx gy gz mark
112 39 2 1 226 355 1 -2 0 0000
11 16 0 0 208 347 2 3 1 0000
-30 -9 -1 0 202 354 2 -1 0 0000
39 46 1 0 173 294 -1 2 -2 0000
9 30 0 0 179 303 -2 1 -1 0000
41 9 1 0 185 346 -3 2 2 0000
2 36 0 0 136 312 -2 0 -1 0000
92 60 2 1 120 302 0 -2 2 0000
21 -2 0 0 144 309 -1 0 2 0000
9 -23 0 0 104 345 1 -3 2 0000
18 52 0 0 75 250 -1 2 1 0000
48 45 1 1 105 304 -3 -3 0 0000
25 41 0 0 83 289 1 0 -5 0000
-28 -28 -1 0 42 282 -1 0 0 0000
21 29 0 0 45 302 -3 1 2 0000
43 -9 1 1 75 299 0 -1 -1 0000
21 -4 0 0 20 301 3 -3 -1 0000
42 17 1 1 15 268 2 -1 0 0000
15 -60 0 0 0 315 0 1 4 0000
18 -11 0 0 -29 320 2 -1 0 0000
34 33 1 0 -7 252 0 -1 1 0000
49 1 1 1 -69 270 0 -1 -1 0000
-18 -19 0 0 -46 243 -1 -3 2 0000
18 8 0 0 -52 251 1 2 4 0000
17 -7 0 0 -73 239 -1 2 1 0000
-3 -3 0 0 -69 285 3 1 -3 0000
-12 0 0 0 -64 237 3 0 -2 0000
1 -17 0 0 -92 246 0 2 -3 0000
37 7 1 0 -120 221 0 3 0 0000
7 12 0 0 -138 222 2 4 4 0000
-4 -30 0 0 -121 223 -1 0 3 0000
25 48 0 0 -182 199 -2 3 2 0000
-17 20 0 0 -153 214 0 2 1 0000
51 36 1 1 -159 236 3 -1 -2 0000
5 4 0 0 -194 205 1 -2 0 0000
25 -14 1 0 -157 180 -2 -2 0 0000
21 -34 0 0 -174 203 1 1 -2 0000
20 48 0 0 -178 188 1 0 0 0000
74 8 1 1 -222 174 0 4 1 0000
-5 38 0 0 -199 187 -2 2 0 0000
54 40 1 1 -193 175 -1 1 -2 0000
21 -4 0 0 -232 183 3 1 1 0000
-5 -1 0 0 -238 185 -1 2 -3 0000
18 -18 0 0 -226 191 2 0 2 0000
43 24 1 1 -245 202 3 0 3 0000
8 21 0 0 -241 165 0 -1 -2 0000
-3 -5 0 0 -230 209 -4 -2 0 0000
25 30 1 0 -248 155 -3 0 -1 0000
50 21 1 1 -246 132 -2 3 -2 0000
18 20 0 0 -243 136 0 -4 -3 0000
-21 -5 0 0 -265 167 2 -1 0 0000
-18 -5 0 0 -247 152 2 0 1 0000
-2 -41 0 0 -262 154 -2 1 -2 0000
5 23 0 0 -265 161 1 -5 -1 0000
20 14 0 0 -275 122 1 3 2 0000
41 49 1 0 -256 161 -2 1 4 0000
8 8 0 0 -251 144 1 1 -2 0000
-12 17 0 0 -296 119 2 1 1 0000
39 34 1 0 -297 110 1 -1 -2 0000
29 61 1 0 -276 110 2 -6 1 0000
56 49 1 1 -301 93 -2 0 -1 0000
-29 -6 -1 0 -284 90 -3 1 2 0000
24 27 0 0 -261 131 2 0 -1 0000
62 55 1 1 -263 97 -1 -4 0 0000
43 39 1 1 -300 107 -3 1 -2 0000
-3 -4 0 0 -297 115 0 0 4 0000
44 50 1 1 -304 109 3 -2 0 0000
-5 -12 0 0 -289 79 0 0 2 0000
8 36 0 0 -305 51 0 5 0 0000
57 63 1 1 -287 84 1 1 2 0000
13 19 0 0 -317 46 -2 1 1 0000
47 52 1 1 -295 73 2 -1 -2 0000
13 20 0 0 -294 18 2 3 1 0000
-25 -27 -1 0 -278 91 2 0 -1 0000
-3 -1 0 0 -326 78 -2 -3 2 0000
-11 9 0 0 -286 77 -3 1 -1 0000
8 -40 0 0 -286 74 2 0 0 0000
12 -19 0 0 -299 9 2 0 2 0000
18 -4 0 0 -297 14 2 -4 0 0000
15 40 0 0 -289 40 1 -2 1 0000
79 27 2 1 -302 22 3 -2 -1 0000
-19 -25 0 0 -286 11 1 -1 -3 0000
10 -18 0 0 -317 21 -1 -3 1 0000
33 -20 1 0 -313 33 -2 -3 2 0000
70 67 1 1 -282 9 0 3 -4 0000
23 24 0 0 -288 -3 1 -3 -5 0000
54 41 1 1 -320 -7 -2 -1 -3 0000
-37 -19 -1 0 -316 22 1 3 2 0000
47 30 1 1 -301 -24 -3 -2 2 0000
-31 -5 -1 0 -311 -20 2 0 0 0000
-39 -43 -1 0 -309 -18 1 4 -2 0000
-91 -82 -2 -1 -308 -82 1 -3 -2 0000
-86 -50 -2 -1 -309 -9 0 -3 -2 0000
-74 -44 -1 -1 -309 -14 0 -2 -1 0000
-91 -67 -2 -1 -302 -22 2 -1 -1 0000
-228 -133 -5 -3 -284 -64 -3 -5 1 0000
-202 -119 -4 -2 -287 -40 -1 3 -5 0000
-182 -141 -4 -2 -308 -65 4 0 1 0000
-219 -121 -4 -3 -288 -58 0 -1 -2 0000
-193 -121 -4 -2 -297 -59 0 1 -3 0000
-150 -111 -3 -2 -336 -74 0 1 1 0000
-54 -36 -1 -1 -280 -118 1 0 -2 0000
76 34 2 1 -289 -49 4 0 0 0000
214 133 4 3 -283 -73 3 -1 -1 0000
436 260 9 5 -284 -116 4 -2 2 0000
730 439 15 9 -260 -87 -1 1 1 0000
1121 662 22 13 -291 -69 3 4 -2 0000
1448 874 29 17 -287 -65 0 -3 0 0000
1721 1042 34 21 -313 -92 0 2 -2 0000
1858 1102 37 22 -295 -71 -1 2 1 0001
1735 995 35 21 -291 -132 1 1 0 0000
1455 870 29 17 -264 -40 -1 0 -1 0000
1069 653 21 13 -276 -123 -2 4 -1 0000
725 483 14 9 -259 -131 0 3 -3 0000
410 265 8 5 -287 -101 0 1 2 0000
98 20 2 1 -251 -116 0 -3 -1 0000
-39 7 -1 0 -267 -81 4 0 -1 0000
-139 -37 -3 -2 -265 -135 -2 0 -2 0000
-210 -96 -4 -3 -255 -135 0 -1 -2 0000
-238 -133 -5 -3 -253 -107 -2 0 2 0000
-197 -140 -4 -2 -263 -93 -2 3 -3 0000
-145 -100 -3 -2 -242 -113 1 2 0 0000
-75 -51 -1 -1 -265 -151 4 0 2 0000
-124 -55 -2 -1 -250 -87 -2 -3 0 0000
-34 -35 -1 0 -235 -169 -2 1 -5 0000
27 5 1 0 -254 -148 -1 -1 -1 0000
29 -1 1 0 -240 -216 1 1 2 0000
92 44 2 1 -225 -155 -3 1 -1 0000
119 49 2 1 -212 -144 -2 3 1 0000
143 125 3 2 -204 -146 2 0 -3 0000
117 65 2 1 -212 -188 2 -2 -3 0000
205 124 4 2 -192 -160 -1 3 -1 0000
194 111 4 2 -209 -150 0 5 0 0000
273 199 5 3 -161 -234 0 -1 4 0000
265 183 5 3 -191 -164 0 1 -1 0000
211 111 4 3 -146 -194 -4 -3 -3 0000
271 199 5 3 -163 -207 -2 0 -1 0000
264 152 5 3 -140 -186 -1 2 -1 0000
322 225 6 4 -106 -216 1 1 2 0000
310 181 6 4 -97 -211 0 -2 0 0000
305 170 6 4 -84 -240 0 1 0 0000
347 209 7 4 -119 -209 2 1 3 0000
351 193 7 4 -89 -222 0 -1 1 0000
353 224 7 4 -92 -250 3 1 -4 0000
429 253 9 5 -64 -198 -2 -1 -2 0000
363 216 7 4 -52 -231 0 1 -3 0000
374 220 7 4 -45 -250 0 2 -1 0000
351 246 7 4 -25 -221 1 1 2 0000
403 268 8 5 0 -316 3 1 -1 0000
438 264 9 5 -4 -228 1 1 2 0000
354 233 7 4 2 -241 1 -4 -1 0000
413 261 8 5 -9 -247 -3 0 -1 0000
388 245 8 5 14 -271 0 -1 -3 0000
469 239 9 6 34 -308 2 -1 -1 0000
467 310 9 6 44 -294 -2 -2 -2 0000
436 254 9 5 68 -275 -3 1 1 0000
467 299 9 6 84 -272 -1 -3 -1 0000
395 274 8 5 68 -294 -1 -3 2 0000
445 256 9 5 114 -293 4 2 -1 0000
394 206 8 5 114 -282 -3 -1 0 0000
415 284 8 5 111 -299 4 0 -2 0000
389 251 8 5 146 -285 -2 -2 3 0000
381 205 8 5 155 -322 1 2 -1 0000
396 228 8 5 145 -308 0 -2 1 0000
331 181 7 4 191 -303 -2 0 -2 0000
351 202 7 4 177 -311 -2 -1 -1 0000
353 232 7 4 208 -341 0 0 -1 0000
323 225 6 4 196 -362 0 -2 1 0000
326 210 7 4 235 -300 1 -3 0 0000
300 140 6 4 226 -299 0 -4 1 0000
345 188 7 4 221 -356 -1 -4 -4 0000
305 182 6 4 243 -322 -3 -1 -2 0000
359 201 7 4 241 -344 2 -1 -4 0000
233 116 5 3 265 -346 -2 -2 -4 0000
268 169 5 3 258 -323 0 0 0 0000
293 182 6 4 271 -322 -3 0 -1 0000
226 144 5 3 268 -335 2 3 1 0000
172 121 3 2 284 -339 3 3 -1 0000
162 128 3 2 293 -317 2 -1 -3 0000
179 91 4 2 282 -348 0 1 2 0000
208 131 4 2 300 -340 0 0 -2 0000
180 135 4 2 283 -384 2 1 -1 0000
83 46 2 1 298 -364 2 2 -3 0000
116 60 2 1 287 -355 3 1 -1 0000
128 79 3 2 294 -389 -1 -2 2 0000
75 19 2 1 318 -368 2 -3 1 0000
131 60 3 2 307 -386 0 -2 2 0000
29 17 1 0 296 -371 4 0 2 0000
100 63 2 1 303 -383 1 4 0 0000
77 41 2 1 278 -395 1 3 -1 0000
68 50 1 1 281 -435 0 -1 -1 0000
68 24 1 1 297 -368 1 -1 -2 0000
81 57 2 1 268 -386 0 -1 -1 0000
79 19 2 1 298 -390 2 -1 -3 0000
56 36 1 1 250 -390 3 5 1 0000
1 -11 0 0 252 -428 3 -1 1 0000
12 10 0 0 250 -389 -2 1 -1 0000
8 12 0 0 194 -407 3 1 -2 0000
72 22 1 1 206 -400 -2 0 0 0000
39 29 1 0 219 -437 0 1 -2 0000
52 43 1 1 173 -405 0 0 0 0000
-5 7 0 0 166 -433 0 -1 1 0000
24 51 0 0 174 -430 -3 0 -1 0000
56 58 1 1 167 -451 1 2 0 0000
32 26 1 0 147 -434 -2 0 0 0000
33 39 1 0 151 -426 -1 2 0 0000
33 60 1 0 121 -417 1 1 2 0000
71 37 1 1 125 -435 -1 -2 2 0000
15 -15 0 0 95 -431 -1 -2 -3 0000
53 20 1 1 95 -440 -2 -4 -3 0010
60 23 1 1 95 -434 0 1 1 0000
-4 38 0 0 74 -456 -3 0 1 0000
35 43 1 0 52 -419 3 -2 -2 0000
31 20 1 0 77 -460 0 2 0 0000
62 18 1 1 35 -466 -1 2 -1 0000
58 35 1 1 18 -469 1 1 0 0000
31 39 1 0 17 -439 -2 2 1 0000
35 -1 1 0 8 -420 0 -3 -1 0000
9 -35 0 0 -37 -406 0 1 2 0000
24 32 0 0 -30 -473 -3 -2 4 0000
0 -29 0 0 -48 -432 2 1 -2 0000
1 26 0 0 -53 -459 1 0 6 0000
-6 12 0 0 -75 -417 2 1 -2 0000
55 1 1 1 -83 -438 3 2 0 0000
64 36 1 1 -88 -422 -5 -3 -1 0000
18 -15 0 0 -98 -475 2 2 3 0000
-4 -39 0 0 -97 -459 -1 2 -2 0000
28 2 1 0 -123 -469 0 0 2 0000
98 47 2 1 -127 -461 -2 2 0 0000
92 79 2 1 -130 -458 -2 2 -2 0000
-21 -13 0 0 -178 -473 2 0 -1 0000
20 16 0 0 -167 -487 1 1 -3 0000
77 30 2 1 -185 -476 -4 -2 1 0000
29 15 1 0 -179 -482 1 1 1 0000
79 42 2 1 -155 -490 -1 -4 1 0000
21 8 0 0 -173 -448 0 2 -1 0000
49 36 1 1 -206 -458 -2 3 2 0000
37 27 1 0 -222 -477 -3 -2 1 0000
128 14 3 2 -215 -477 -1 -1 -2 0000
58 38 1 1 -205 -455 -2 0 1 0000
-5 1 0 0 -232 -481 2 1 -1 0000
13 -1 0 0 -234 -457 1 4 -1 0000
42 49 1 1 -237 -483 2 2 1 0000
-26 -30 -1 0 -238 -413 1 1 -2 0000
-23 -8 0 0 -238 -508 1 1 -4 0000
-3 15 0 0 -237 -461 1 0 1 0000
21 17 0 0 -245 -453 4 -4 1 0000
68 37 1 1 -245 -426 -3 -4 -3 0000
23 -10 0 0 -233 -467 0 3 -1 0000
36 43 1 0 -303 -463 2 1 4 0000
29 3 1 0 -276 -515 0 1 -2 0000
10 26 0 0 -275 -467 5 1 2 0000
72 58 1 1 -280 -492 0 -1 -5 0000
-1 13 0 0 -249 -492 0 -1 -3 0000
25 10 0 0 -267 -503 1 2 0 0000
21 -33 0 0 -292 -495 -2 -1 -2 0000
48 41 1 1 -278 -495 1 -2 -1 0000
80 39 2 1 -295 -490 2 0 0 0000
47 7 1 1 -300 -502 0 -1 -1 0000
73 21 1 1 -294 -470 3 2 -1 0000
55 22 1 1 -295 -516 -2 0 1 0000
13 0 0 0 -281 -499 1 1 2 0000
34 40 1 0 -285 -510 2 3 3 0000
73 50 1 1 -291 -500 -1 0 1 0000
-15 -19 0 0 -291 -495 -1 -2 -1 0000
42 28 1 1 -299 -444 -2 0 0 0000
27 35 1 0 -308 -460 -1 1 -3 0000
59 22 1 1 -313 -489 -1 1 -1 0000
55 59 1 1 -315 -505 2 -1 3 0000
41 13 1 0 -287 -490 0 -5 3 0000
77 42 2 1 -312 -517 -1 -2 1 0000
-13 -5 0 0 -264 -460 4 0 1 0000
60 55 1 1 -293 -524 -3 -1 5 0000
-15 26 0 0 -275 -510 -1 0 4 0000
50 47 1 1 -290 -536 -2 -1 0 0000
35 -16 1 0 -301 -509 2 0 0 0000
62 19 1 1 -285 -489 0 -2 -1 0000
35 19 1 0 -287 -521 -1 2 3 0000
-14 -21 0 0 -326 -513 1 -3 -2 0000
-27 -26 -1 0 -310 -478 -1 1 -1 0000
49 31 1 1 -300 -498 1 -1 -2 0000
30 0 1 0 -301 -493 1 -2 0 0000
15 -2 0 0 -283 -521 2 1 -2 0000
21 26 0 0 -300 -509 1 0 -1 0000
